전화번호,도로명주소,Latitude,Longitude,사업장명
999-7582,서울특별시 도봉구 우이천로 446-3,37.6531846,127.0171099,동물병원 비아츠
02)2062-7982,서울특별시 양천구 목동동로 309,37.5293731,126.8760838,펫사랑동물병원
02-2217-8930,서울특별시 동대문구 전농로 80,37.5719483,127.0575928,아이원 동물병원
02-2647-1772,서울특별시 양천구 등촌로 58,37.5351276,126.8637766,하니동물병원
02-423-5755,서울특별시 송파구 송파대로 567,37.5152448,127.0948683,더오동물병원
02-922-7555,서울특별시 성북구 보문로 51,37.5799763,127.0219929,포포동물병원
02-2135-5611,서울특별시 강서구 공항대로 228,37.5586285,126.8327075,율동물의료센터
2693-8883,서울특별시 양천구 중앙로 295,37.5225681,126.8514082,우신동물병원
1577-6125,서울특별시 강남구 도산대로 445,37.5245586,127.0446434,이리온동물의료원(청담점)
02-540-7522,서울특별시 강남구 언주로 813,37.5229931,127.0328786,케어덴 동물치과&내과병원
02-2662-8111,서울특별시 강서구 마곡중앙1로 72,37.5595407,126.8193505,24시 강서 젠틀리동물의료센터
02-6953-7599,서울특별시 송파구 백제고분로 506,37.5151641,127.1155702,바로슬동물병원
02-2242-0175,서울특별시 동대문구 한천로 164,37.5755126,127.0676783,스마트동물병원
02-903-7582,서울특별시 강북구 노해로 65,37.6414521,127.0222657,24시 수유 바른펫 동물의료센터
02-508-7583,서울특별시 강남구 역삼로 234,37.4970897,127.0422033,드림동물병원
853-7582,서울특별시 금천구 남부순환로 1386,37.47973,126.9047274,우리동물메디컬센터
457-4545,서울특별시 광진구 광나루로 507,37.5452435,127.0859569,광진동물의료센터
792-7602,서울특별시 용산구 보광로 90,37.5311078,126.9958299,청화종합동물병원
02-402-3270,서울특별시 송파구 법원로4길 6,37.4948255,127.0120556,동물병원알루
02-6953-0475,서울특별시 동작구 서달로 150,37.5066658,126.9621884,스무해 동물병원
02-433-0787,서울특별시 중랑구 중랑천로 81,37.5924376,127.0726366,중랑차동물병원
02-356-7547,서울특별시 은평구 연서로 72,37.6055793,126.9158431,진솔동물병원
02-813-7579,서울특별시 동작구 상도로 43,37.5000152,126.9254647,피닉스동물병원
02-784-7588,서울특별시 영등포구 국제금융로7길 22,37.5232129,126.933086,헬로우동물병원 여의도점
02-439-8300,서울특별시 중랑구 면목로 341,37.5823489,127.0882923,혜원동물병원
02-6479-7582,서울특별시 송파구 가락로 69,37.5001445,127.1038197,동물병원 유피
269527519,서울특별시 은평구 연서로 122,37.6095895,126.9168125,24시예담동물의료센터
02-6978-9296,서울특별시 서초구 원터2길 4,37.4442443,127.0564277,나비셀 동물의료센터
070-7733-8505,서울특별시 도봉구 마들로13길 61,37.6578701,127.0464066,동물진료법인 포레스트
02-443-2222,서울특별시 송파구 동남로 161,37.4928086,127.1281483,에코동물병원
02-861-7582,서울특별시 관악구 시흥대로 552-1,37.4822528,126.9014869,고려동물병원
02-3442-5554,서울특별시 강남구 선릉로152길 17,37.524441,127.0410589,그레이스 고양이 병원
02-418-0724,서울특별시 송파구 올림픽로 76,37.5115663,127.0790214,24시잠실ON동물의료센터
02-887-1575,서울특별시 관악구 남부순환로 1678,37.4842117,126.9368197,이로동물의료센터
02-307-3355,서울특별시 마포구 상암산로1길 24 (상암동,37.577686,126.8886889,아프지말게 동물병원
02-2088-2878,서울특별시 송파구 중대로 320,37.5086008,127.1339812,엘 동물병원
02-445-5022,서울특별시 강남구 자곡로 202,37.4747354,127.1048177,힐스타동물병원
02-2039-9780,서울특별시 서초구 신반포로23길 30,37.5087874,127.0035738,파파동물병원
02-713-8275,서울특별시 마포구 백범로31길 7,37.5456175,126.9487941,힐링 24시 동물병원
457-2220,서울특별시 광진구 뚝섬로 541,37.5349189,127.0703778,준동물병원
426-7509,서울특별시 강동구 동남로81길 82,37.5590665,127.1525354,비타민동물병원
02-375-7222,서울특별시 마포구 월드컵북로 336,37.576043,126.8946596,상암동물병원
02-323-7582,서울특별시 마포구 신촌로 16,37.5580089,126.9280891,마리동물병원
02-837-8875,서울특별시 관악구 남부순환로 1429,37.4811834,126.9095682,러브펫종합동물병원
02-6215-3416,서울특별시 중랑구 동일로 640,37.5976182,127.0790622,로얄동물암치료센터
070-8660-0904,서울특별시 중랑구 동일로 640,37.5976182,127.0790622,로얄동물메디컬센터 본원
02-305-8275,서울특별시 서대문구 거북골로 178,37.5771814,126.9108988,가재울봉쥬르동물병원
306-8575,서울특별시 은평구 증산로 267,37.5817999,126.9070441,한수24시동물병원
02-457-4545,서울특별시 광진구 광나루로 507,37.5452435,127.0859569,광진동물의료센터
02-701-7580,서울특별시 마포구 신촌로 110,37.5551608,126.9381296,웨스턴 동물의료센터
02-400-0075,서울특별시 송파구 중대로 80,37.4917382,127.1177515,펫가든동물병원
02-365-7582,서울특별시 서대문구 신촌로35길 10,37.5582587,126.9558611,마음을 나누는 동물병원
02-555-2272,서울특별시 송파구 가락로 169,37.5040824,127.1138736,라온펫동물병원
070-8660-0936,서울특별시 중랑구 동일로 640,37.5976182,127.0790622,로얄동물외과수술센터
900-7710,서울특별시 노원구 월계로45길 28 (월계동,37.6269404,127.0512537,유림동물병원
6224-3858,서울특별시 노원구 동일로203가길 29 (중계동,37.6399359,127.0642574,브라운동물병원
930-7975,서울특별시 노원구 동일로 1689 (상계동,37.679119,127.0548865,수 동물병원
02-938-1122,서울특별시 노원구 한글비석로 272,37.6517354,127.0775931,참사랑동물병원
979-8275,서울특별시 노원구 동일로 1280,37.6427206,127.0665677,우리들동물종합병원
949-5975,서울특별시 노원구 공릉로 168,37.6250052,127.080072,미래동물병원
02-2676-7582,서울특별시 영등포구 영등포로 85-1,37.5223389,126.8911691,24시 수 동물메디컬센터
02-325-2026,서울특별시 마포구 독막로 45,37.5480959,126.9183855,홍익동물종합병원
512-3331,서울특별시 강남구 영동대로 630,37.5164971,127.059487,중앙동물메디컬센터
27925455,서울특별시 용산구 이촌로 248,37.5193297,126.9750267,이상윤동물병원
2661-7515,서울특별시 강서구 마곡중앙1로 72,37.5595407,126.8193505,마곡나무 동물병원
02-359-2020,서울특별시 은평구 통일로 817,37.6165464,126.9231743,Dr.윤24시동물병원
02-2607-7582,서울특별시 양천구 신월로 124,37.5162771,126.8377522,신월동물병원
02-6949-0413,서울특별시 양천구 목동중앙로 89,37.5372665,126.8718683,봄날동물병원
839-7585,서울특별시 구로구 도림로 72,37.4893228,126.8916729,라라동물의료원
02-358-1591,서울특별시 은평구 연서로29길 24,37.6196405,126.9177319,도그원 동물의료센터
02-2281-5200,서울특별시 성동구 왕십리로 282,37.5596614,127.0370141,한양동물메디컬센터
02-484-7975,서울특별시 강동구 양재대로 1609,37.5492721,127.143436,동물병원 공감
02-6952-3676,서울특별시 강서구 강서로 506,37.5706448,126.8421315,보타닉동물병원
02-6207-5551,서울특별시 강남구 언주로7길 6,37.477066,127.0554648,헤이든동물병원
02-419-5959,서울특별시 송파구 송파대로49길 52,37.506088,127.0989735,석촌호수동물병원
02-423-2088,서울특별시 송파구 백제고분로 294,37.5024251,127.0993625,한걸음더 재활한방 동물병원
02-762-7582,서울특별시 종로구 창경궁로35길 19,37.5868304,127.0016898,뉴욕동물병원
02-544-2882,서울특별시 강남구 도산대로 540,37.5245027,127.0527589,청담리덴동물치과병원
02-302-7502,서울특별시 마포구 월드컵북로 224,37.5698147,126.9044547,행복한 동물병원
02-304-7772,서울특별시 은평구 수색로 322,37.5842799,126.8925933,수색동물병원
939-6898,서울특별시 노원구 한글비석로52길 18,37.6652985,127.0665267,이앤박동물병원
02-439-7582,서울특별시 중랑구 상봉로 17,37.5874954,127.0941262,닥터멍동물병원
070-4349-3357,서울특별시 송파구 석촌호수로 104,37.5077669,127.0884542,도그마루 동물병원
02-932-0075,서울특별시 노원구 노원로 408,37.6531769,127.0681256,한국동물암센터
02-302-7502,서울특별시 서대문구 가좌로 113,37.5825801,126.9255531,장승준동물치과병원
264546182,서울특별시 성동구 왕십리로 241,37.5536986,127.0391633,바우라움동물병원
269587515,서울특별시 성동구 왕십리로 241,37.5536986,127.0391633,오즈동물병원
27909808,서울특별시 성동구 고산자로6길 40,37.5582591,127.0355555,BK심장동물병원
583-7580,서울특별시 서초구 서초대로15길 8-10,37.4871634,126.9906812,HELP 유기동물 의료센터
02-822-0275,서울특별시 동작구 현충로 92,37.5080505,126.9640095,흑석24시동물병원
02-2138-3877,서울특별시 용산구 한강대로 95,37.5291079,126.9669814,위런한방재활동물병원
926-8275,서울특별시 성북구 보문로 99,37.5839384,127.0198341,24시 애니동물병원
02-3663-6575,서울특별시 강서구 화곡로 398,37.5584079,126.8550157,웰니스동물병원
5011139,서울특별시 강남구 남부순환로 2921,37.4936059,127.0597001,대치성심동물병원
02-946-0011,서울특별시 강북구 삼양로24길 19,37.617204,127.0221045,아이사랑동물병원
02-403-7588,서울특별시 송파구 오금로 332,37.50142,127.1284717,리틀버드서울 버드앤주클리닉
6978-9500,서울특별시 금천구 가산디지털2로 98,37.4767866,126.8806076,나비셀 동물의료센터
512-0075,서울특별시 강남구 논현로67길 56,37.4931656,127.0354302,츄츄 동물병원
070-4351-3854,서울특별시 노원구 노원로 408,37.6531769,127.0681256,앤(N)고양이병원
02-6956-5259,서울특별시 송파구 양재대로 1164,37.5110772,127.1283976,올림픽동물의료센터
02)6953-7576,서울특별시 양천구 등촌로 10,37.5307466,126.8642653,24시 로운동물의료센터
02-921-2413,서울특별시 동대문구 무학로 201,37.5821511,127.0293568,서울동물복지지원센터 동대문 동물병원
02-2135-8257,서울특별시 강동구 구천면로 670,37.5508582,127.1723767,상일 쓰담쓰담 동물병원
02-6956-3383,서울특별시 서대문구 거북골로 100,37.5761325,126.917483,바른동물메디컬센터
02-406-4814,서울특별시 송파구 거마로 56,37.4954616,127.1494859,동물의왕국동물병원
02-597-8985,서울특별시 관악구 과천대로 909,37.4714783,126.9824131,아이러브펫동물병원
02-2611-1925,서울특별시 구로구 고척로 156,37.5031898,126.8511947,메리트원 동물의료센터
222052975,서울특별시 성동구 서울숲2길 32-14,37.5457822,127.0424788,성수 숲속 피부과 동물병원
02-435-7582,서울특별시 중랑구 용마산로 670,37.5907951,127.0947948,산들동물병원
2256-7582,서울특별시 중구 동호로 178,37.5543109,127.0114858,웰펫동물병원
02-426-8875,서울특별시 강동구 올림픽로 820,37.5540637,127.1292334,프라임 동물의료센터
02-875-7579,서울특별시 관악구 남부순환로 1811,37.481735,126.951446,서울허브동물병원
02-511-7522,서울특별시 강남구 삼성로133길 7,37.5194404,127.0490303,VIP 반려동물 암센터
2038-8253,서울특별시 광진구 천호대로 623-1,37.5545525,127.0870761,서울동물병원
02-467-5656,서울특별시 성동구 아차산로 75,37.5463387,127.0535209,성동제일동물병원
457-7582,서울특별시 광진구 아차산로 537-17,37.5431792,127.0995622,나루동물병원
02-455-5975,서울특별시 광진구 자양로 65,37.5336305,127.0843643,아이본 동물병원
452-7580,서울특별시 광진구 천호대로 663,37.5517919,127.0902248,아차산동물병원
450-9372,서울특별시 광진구 능동로 216,37.5495886,127.081578,서울어린이대공원동물병원
02-498-7588,서울특별시 광진구 광나루로 361,37.548475,127.0697258,파라곤동물병원
226987582,서울특별시 양천구 신월로 208,37.520507,126.8453872,24시월드펫동물메디컬센터
457-8575,서울특별시 광진구 뚝섬로 622-1,37.5320502,127.0787833,로엘동물병원
02-6954-7582,서울특별시 광진구 뚝섬로 670,37.5315966,127.0839381,해맑은동물병원
02-2024-1253,서울특별시 광진구 아차산로 272 (자양동,37.531692,127.074516,쿨펫동물병원
3421-9075,서울특별시 중랑구 신내로 201,37.6157942,127.0937634,도그플러스 동물병원
02-3427-6419,서울특별시 강동구 구천면로 431,37.5502561,127.146727,피카소동물병원
990-7588,서울특별시 강북구 도봉로98길 56,37.640847,127.0327599,동물을사랑하는사람들
999-9110,서울특별시 강북구 노해로 94,37.6437664,127.0230329,현대종합동물병원
02-988-0251,서울특별시 강북구 월계로 35,37.6111169,127.0337938,창문동물병원
955-2882,서울특별시 도봉구 방학로 187,37.6612909,127.0317101,유현동물병원
951-7582,서울특별시 노원구 동일로 1370,37.6509224,127.0618808,한빛종합동물병원
908-7585,서울특별시 노원구 동일로 1356,37.6500651,127.0622174,시마동물병원
02-373-7500,서울특별시 서대문구 응암로 76,37.5796412,126.9114362,위드 동물병원
309-8275,서울특별시 서대문구 거북골로 120,37.5759735,126.9156593,프란다스동물병원
373-2923,서울특별시 서대문구 가좌로 104,37.582045,126.9267082,백년동물병원
02-2232-7975,서울특별시 중구 퇴계로 447,37.5661712,127.0219095,바른동물병원
732-3827,서울특별시 종로구 자하문로 66-2,37.582026,126.970952,효자동물병원
02-477-1775,서울특별시 강동구 천호대로 1120,37.5344438,127.1356252,내품에동물병원
02-470-0030,서울특별시 강동구 양재대로 1376 (둔촌동,37.5288337,127.1371945,Dr.주 동물병원
02-6497-7582,서울특별시 강동구 양재대로 1588 (명일동,37.5472769,127.1436727,미드미동물의료센터
02-484-5252,서울특별시 강동구 풍성로 145,37.5312799,127.128135,성내동물병원
02-2694-7575,서울특별시 양천구 신월로 179,37.5191847,126.843014,신월라온동물의료센터
2606-1990,서울특별시 양천구 지양로 52,37.5205195,126.8349234,일오삼동물병원
02-474-7588,서울특별시 강동구 상암로 64,37.5487997,127.1302588,정동물병원
02-487-7575,서울특별시 강동구 양재대로 1508,37.5402022,127.141229,열린24시동물병원
02-474-5100,서울특별시 강동구 양재대로 1385,37.5299048,127.136593,둔촌동물병원
02-472-7343,서울특별시 강동구 양재대로 1532,37.5423777,127.141933,강동동물병원
02-488-3703,서울특별시 강동구 구천면로 238,37.5416689,127.1308499,현대종합동물병원
02-427-5685,서울특별시 강동구 동남로73길 26,37.5532419,127.1547783,해태동물병원
02-442-7772,서울특별시 강동구 구천면로 498-1,37.549028,127.1536787,두루동물병원
846-4597,서울특별시 영등포구 도림로 153,37.4943165,126.8985677,두암동물병원
02-488-7463,서울특별시 강동구 올림픽로 703,37.5442597,127.125197,쥬라기동물병원
02-488-7510,서울특별시 강동구 구천면로 322,37.5480593,127.1356338,CH동물병원
02-474-0117,서울특별시 강동구 구천면로 289,37.5458538,127.1334474,다래동물병원
02-888-8807,서울특별시 관악구 신림로 233,37.4772314,126.9352616,서울종합동물병원
02-449-0101,서울특별시 송파구 마천로5길 16,37.5095183,127.1272173,늘푸른동물병원
3473-6943,서울특별시 서초구 효령로53길 45 (서초동,37.4865561,127.0128914,닥터캣연구원 동물병원
02-441-8588,서울특별시 강동구 고덕로 101,37.5549198,127.1367208,가나동물병원
592-0202,서울특별시 서초구 서초중앙로 224,37.5015999,127.0132355,꿈꾸는 동물병원
02-2604-0156,서울특별시 양천구 오목로 280,37.5251601,126.8682253,리베동물메디컬센터
02-539-3339,서울특별시 강남구 삼성로 212 (대치동,37.4959134,127.0618177,대치수동물병원
02-575-7999,서울특별시 강남구 선릉로 225,37.4953404,127.0526522,고려종합동물병원
02-546-9539,서울특별시 강남구 논현로132길 24,37.5151523,127.0323757,최영민 동물의료센터
02-484-8414,서울특별시 강동구 구천면로 237,37.5417464,127.1304096,세종동물병원
02-484-0075,서울특별시 강동구 천호대로 1199,37.5351249,127.1441422,길종합동물병원
907-1565,서울특별시 강북구 덕릉로 79,37.6348028,127.0226133,동물병원 위드
02-511-7522,서울특별시 강남구 삼성로133길 7,37.5194404,127.0490303,VIP동물한방재활의학센터by.Dr.신사경
02-429-8822,서울특별시 강동구 상일로 13,37.5482554,127.1731039,GD동물병원
02-3426-5079,서울특별시 강동구 올림픽로 793,37.5520109,127.1279099,암사동물병원
7323827,서울특별시 종로구 자하문로 66-2,37.582026,126.970952,효자동물병원
02-2135-7228,서울특별시 영등포구 신길로 29,37.5034248,126.9083617,동물병원예지
464-2748,서울특별시 광진구 뚝섬로 462,37.5368873,127.0617784,노룬산동물병원
949-7577,서울특별시 중랑구 동일로 925,37.612956,127.0768147,치료해 주오
02-2237-7582,서울특별시 중구 다산로 32,37.5490132,127.0092806,힐스타운 동물병원
02-867-7776,서울특별시 관악구 남부순환로 1444,37.4809038,126.9112754,스누피동물병원
900-7555,서울특별시 도봉구 해등로26길 7,37.6585049,127.0326011,아이조은동물병원
736-5834,서울특별시 서대문구 통일로 375,37.5835245,126.9493005,빛가온동물병원
02-322-1275,서울특별시 마포구 동교로 193,37.5577074,126.9225061,워너비 동물병원
02-529-5575,서울특별시 강남구 도곡로 189,37.492431,127.0400167,예은동물병원
02-6949-5775,서울특별시 강동구 양재대로 1453,37.5357004,127.1388826,펫트리동물의료센터
02-529-7577,서울특별시 강남구 논현로 18,37.473015,127.0498693,위드펫동물병원
02-3394-7530,서울특별시 성동구 천호대로 288,37.5664051,127.0527472,24시LC동물의료센터
02-2060-7975,서울특별시 구로구 개봉로20길 26,37.4932221,126.8564207,모두동물병원
02-420-9993,서울특별시 송파구 가락로 162,37.5032577,127.1134375,한양동물병원
02-830-1494,서울특별시 강동구 고덕로 353,37.5579056,127.162626,동물병원 베를린
02-867-7776,서울특별시 금천구 독산로 70-1,37.4536287,126.9063447,허브동물병원
24610079,서울특별시 광진구 능동로 18,37.5329888,127.0680604,반디동물병원
02-2233-6675,서울특별시 중구 다산로36길 83,37.5605257,127.0191101,신당 좋아요 동물병원
847-6759,서울특별시 영등포구 여의대방로 201,37.5049815,126.9220178,한국동물병원
02-979-8575,서울특별시 노원구 동일로 1025,37.6215929,127.0739618,메인동물병원
02-2635-2475,서울특별시 영등포구 양평로 5,37.5320913,126.9050405,이든동물의료센터
02-523-0275,서울특별시 서초구 서초대로4길 4,37.4854693,126.9852134,심바동물병원
02-424-7552,서울특별시 송파구 석촌호수로 146,37.506889,127.0931686,행복한 우리아이 동물병원
02-511-7522,서울특별시 강남구 삼성로133길 7,37.5194404,127.0490303,VIP동물의료센터 청담점
02-441-2202,서울특별시 강동구 고덕로 262,37.5546405,127.1546233,아이안 동물의료센터
0507-1330-1480,서울특별시 송파구 올림픽로 240,37.5112862,127.0979392,웰니스동물병원(롯데월드점)
598-9875,서울특별시 서초구 사임당로 97,37.4902812,127.0203709,강남서초 동물병원
02-6953-7576,서울특별시 강서구 등촌로 223,37.5496243,126.8633842,로운동물의료센터
02-419-7571,서울특별시 송파구 백제고분로 432,37.509254,127.111872,송파원동물병원
02-719-7052,서울특별시 마포구 신촌로 258,37.5570916,126.9542989,소망동물병원
450-0472,서울특별시 광진구 능동로 120,37.5425408,127.0737253,건국대학교 부속 동물병원
3439-7533,서울특별시 구로구 경인로 661,37.5094204,126.8877437,아이러브펫동물병원(신도림점)
02-549-0275,서울특별시 강남구 도산대로 213 (신사동,37.5207257,127.0299801,24시 스마트동물병원(신사본원)
02-571-8275,서울특별시 영등포구 경인로 832,37.5156848,126.9054135,경인동물의료센터
02-715-0075,서울특별시 마포구 대흥로 24 (용강동,37.5411724,126.9446581,닥터 호오 동물병원
929-1212,서울특별시 성북구 종암로 91,37.5983898,127.0343515,미소동물병원
262720075,서울특별시 서대문구 가재울미래로 2,37.5722576,126.9178374,햇살동물병원
02-703-0075,서울특별시 용산구 백범로 341,37.5382753,126.9673632,좋아서하는 동물병원
3421-7588,서울특별시 중랑구 신내로 211,37.6163253,127.0926776,쥬라기동물병원
02-515-8575,서울특별시 강남구 학동로20길 39,37.5107907,127.0278621,순수동물병원
02-2642-7588,서울특별시 양천구 신월로 355,37.5223384,126.8604835,우리들동물메디컬센터
02-711-3375,서울특별시 마포구 독막로 295 (염리동,37.5446993,126.9460445,굿모닝 동물병원
24550975,서울특별시 광진구 광나루로 524,37.5447226,127.0876824,연두동물병원
02-442-2223,서울특별시 강동구 고덕로 162,37.5545202,127.1433336,늘사랑동물병원
02-442-8287,서울특별시 강동구 올림픽로 820,37.5540637,127.1292334,마리스동물의료센터
02-476-7582,서울특별시 강동구 양재대로 1603,37.5488065,127.1433478,안단테 동물의료센터
02-428-7893,서울특별시 강동구 구천면로 446,37.5492686,127.1475305,사랑이있는동물병원
02-476-3927,서울특별시 강동구 양재대로 1299,37.5224537,127.1336511,방주동물의료센터
02-428-1661,서울특별시 강동구 올림픽로 787,37.5514792,127.1277197,올바른동물병원
02-486-4252,서울특별시 강동구 천호대로 1186,37.5339608,127.1432287,김태화동물병원
02-441-5515,서울특별시 강동구 아리수로50길 50 (고덕동,37.558949,127.1470826,고덕 고래힐동물병원
02-402-5746,서울특별시 송파구 동남로18길 23,37.494233,127.133072,영국동물병원
02-2039-9930,서울특별시 광진구 자양로15길 30,37.5356847,127.0819003,우주동물병원
02-3395-7975,서울특별시 성동구 고산자로 207,37.5586791,127.0336913,24시센트럴동물메디컬센터
02-387-7582,서울특별시 은평구 은평로 93,37.5997808,126.9181271,24시스마트동물메디컬센터
02-6953-7512,서울특별시 강동구 상일로 153,37.5606648,127.1704374,도담동물병원
02-6454-6182,서울특별시 성동구 왕십리로 241,37.5536986,127.0391633,바우라움동물병원
973-7588,서울특별시 노원구 화랑로 349,37.6153932,127.066658,우솔종합동물병원
02-518-7500,서울특별시 강서구 화곡로 371,37.5569656,126.8521759,강서YD동물의료센터
02-442-8875,서울특별시 강동구 고덕로 110,37.554528,127.1374751,스마트동물병원 강동암사점
02-2295-9888,서울특별시 성동구 왕십리로 410,37.56611,127.0276467,베이지동물병원
02-2214-6129,서울특별시 동대문구 전농로 77,37.571804,127.0571017,그랜드동물병원
02-808-2475,서울특별시 금천구 시흥대로 251 (시흥동,37.4561179,126.8995349,금천 24시 K동물의료센터
02-457-0075,서울특별시 강동구 천호대로 1171,37.5341569,127.1413865,동물영상진단센터/나음고양이병원
02-6956-7502,서울특별시 중구 을지로38길 20,37.5658839,127.0033459,헬릭스동물암센터
02-448-6400,서울특별시 송파구 위례송파로 77,37.4848583,127.1443494,24시 스탠다드 동물의료센터
953-0075,서울특별시 성북구 동소문로 73,37.5923096,127.0134279,VIP 동물의료센터
02-6953-7587,서울특별시 송파구 송파대로 567,37.5152448,127.0948683,잠실동물병원
02-476-8275,서울특별시 강동구 천호대로 1057,37.5372433,127.1295025,시온동물병원
02-6203-7588,서울특별시 강남구 언주로 542,37.5066962,127.0408665,서울동물심장병원
02-880-8661,서울특별시 관악구 관악로 1 (신림동,37.480967,126.953148,서울대학교 수의과대학 동물병원
2256-8275,서울특별시 중구 다산로 32,37.5490132,127.0092806,남산동물병원
02-478-2208,서울특별시 강동구 천호대로191길 6,37.5354082,127.1444824,양지가축동물병원
2233-7574,서울특별시 중구 다산로 107,37.5536529,127.0096507,미래지동물의료센터
869-7582,서울특별시 구로구 구로중앙로 107,37.4981264,126.8857417,24시 지구촌 동물메디컬 센터
02-549-4505,서울특별시 강남구 도산대로 206,37.5196337,127.0290227,신사동물병원
02-457-0075,서울특별시 강동구 천호대로 1171,37.5341569,127.1413865,로얄동물메디컬센터 강동
02-6953-7502,서울특별시 송파구 삼전로 56,37.5037618,127.0878801,헬릭스동물메디컬센터 송파분원
2263-6134,서울특별시 중구 퇴계로 227,37.5620602,126.9968918,대한동물병원
02-812-7585,서울특별시 동작구 양녕로 277-1,37.5043895,126.9493961,품 동물의료센터
379-7575,서울특별시 종로구 평창문화로 75,37.6068198,126.9692177,월드펫동물병원
02-6949-2475,서울특별시 강동구 성내로 48,37.5285304,127.1251485,더파크동물의료센터
907-7512,서울특별시 도봉구 시루봉로 59,37.6561902,127.0277183,사랑해요동물병원
02-797-4408,서울특별시 강남구 테헤란로8길 46,37.4958617,127.0322271,동물치과병원메이
2278-0075,서울특별시 중구 퇴계로 254-1,37.5623708,127.0000055,황동물병원
0507-1350-7229,서울특별시 마포구 광성로 17,37.5510707,126.9344114,신촌 숲 동물병원
262170202,서울특별시 동대문구 전농로 57-1,37.5701264,127.05692,동대문 루시드 동물메디컬센터
02-3471-0375,서울특별시 동작구 동작대로 47,37.4809108,126.9812668,다나동물병원
02-797-1275,서울특별시 용산구 서빙고로 35,37.525111,126.9691452,워너비동물병원 용산점
2274-8558,서울특별시 중구 퇴계로 226,37.5616278,126.9968561,윤신근박사동물병원
732-3827,서울특별시 종로구 자하문로 66-2,37.582026,126.970952,효자동물병원
732-3827,서울특별시 종로구 자하문로 66-2,37.582026,126.970952,효자동물병원
379-7575,서울특별시 종로구 진흥로 473,37.6062848,126.9605225,월드펫동물병원
02-733-6030,서울특별시 종로구 자하문로 95,37.5844499,126.9699805,선동물병원
02-744-9098,서울특별시 종로구 지봉로 53-1,37.5749017,127.0155112,해동물병원
391-4575,서울특별시 종로구 자하문로 293,37.5988869,126.9602501,북악동물병원
02-6953-7502,서울특별시 송파구 삼전로 56,37.5037618,127.0878801,리베동물메디컬센터
3676-1190,서울특별시 종로구 지봉로 96-3,37.578706,127.0156445,우리동물병원
02-735-7530,서울특별시 종로구 사직로12길 2,37.5757926,126.9710648,누리봄동물병원
722-8275,서울특별시 종로구 자하문로 35-3,37.5790422,126.9711636,광화문동물병원
3672-8441,서울특별시 종로구 창경궁로 261,37.5846476,127.0001899,대학로동물병원
3216-7582,서울특별시 종로구 세검정로 313,37.6005917,126.9587368,평창동물병원
764-0075,서울특별시 종로구 혜화로 11,37.5865518,127.0000904,성현동물병원
3216-7582,서울특별시 종로구 평창문화로 31,37.6049246,126.9650311,평창동물병원
732-3827,서울특별시 종로구 자하문로 66-2,37.582026,126.970952,효자동물병원
733-5060,서울특별시 종로구 통일로 238,37.5724271,126.9613598,독립문동물병원
732-3827,서울특별시 종로구 자하문로 66-2,37.582026,126.970952,효자동물병원
02-2038-7555,서울특별시 중구 다산로 230,37.5634982,127.0159751,메종동물병원
